stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AMAT,197.25999450683594,7.67019844551956,10.792857187130943,12.401667328655975,16.381492125258276,4.8510694493415345,-44.74284322882167,31.353490105591135,-0.08193558065330699
ORCL,141.2899932861328,3.4834231292362574,5.4475161684207,6.306082258857259,9.945860446244538,3.0586867808277796,-34.139144786718745,110.92772798602431,0.0314522314219
SCHW,65.0999984741211,1.7711851385686472,2.8818430491420783,3.4352528032549685,5.30389855411078,1.4083756550123754,-18.964258948451608,35.5237808988672,-0.04048215451902405
CVS,57.2400016784668,1.4083072354058785,2.316892296634204,2.748105782270912,4.195813237382772,0.9755586770486491,-10.708785797553098,5.578683155206882,0.039500944333774636
RTX,123.33999633789062,2.166916820968794,3.611835380299953,4.212968807469835,6.791251322407321,1.5610516488045436,-22.68894651094932,19.04876471142137,-0.09357305403912629
C,62.63999938964844,1.5351683568071195,2.1140604924596897,2.4774254515480436,3.0714362341905406,0.9638218904977813,-5.584203707739036,12.837852813167032,-0.031857994278914475
GS,510.25,11.925782374238906,15.75826486830784,18.074293491092533,22.252931507521442,7.208945179678083,-45.11998057073765,80.01762460295618,-0.3106828517563012
AMGN,333.8299865722656,7.413844279711213,11.614812650123943,13.23266513280322,20.503411160908513,5.0473082473654705,-59.81740336165478,51.34892101991176,-0.16959927155689605
BLK,896.5046997070312,17.80652715600479,22.9979348507595,26.128462224714212,30.705065229605044,10.87558887650751,-42.77374180441598,48.92884085218873,-0.15269979522512722
BA,173.74000549316406,5.426495985639065,7.966492385121081,9.443063696336054,13.074981503136819,3.518799907016678,-27.479779193044436,31.473859661509664,0.08963288027675646
CAT,356.1000061035156,8.694790435441973,12.075863523822507,13.783266970433829,18.673777871595608,5.610156497402788,-32.62934901057889,39.31571552483308,0.23457389219089722
IBM,202.1300048828125,3.819415765305081,5.332425313071052,5.942363277222171,8.29775504869379,2.5669214818221033,-20.983274319980637,43.18042726594422,-0.0934364135694137
SBUX,94.56999969482422,2.3611989300393645,4.129334280798563,4.710900240611139,8.572104216693827,1.919132156185999,-24.15934418089337,34.10006303768981,-0.08877190798834483
AMT,224.05999755859375,5.928748718149734,8.441985263580117,9.537355425887881,12.862360710362267,3.7291422958106097,-33.130073716403984,28.129582158245142,-0.21676632219038625
GE,174.6199951171875,4.899308491161065,7.036654233212367,8.214243685557733,10.990631008572006,3.0919819599303304,-22.15472934483884,35.63060365574589,-0.20260423016268161
ISRG,492.6300048828125,12.85858854097836,18.732272645454852,20.33866136398848,31.2978848738028,8.213758536808452,-78.285718888009,54.991721988064114,-0.3808108841064056
COP,113.79000091552734,2.5586257360438935,3.415102026144241,3.8796371064505735,4.929826668422441,1.5613868473365078,-8.816303269253211,8.764756604057993,-0.009759214540326062
TGT,153.6199951171875,4.562323009159172,7.0527821968130455,8.320738367105662,12.174347440590564,3.0176961763931147,-34.90427524484143,27.3220024463146,-0.24618661806567574
AXP,258.6499938964844,5.24389500592963,7.6987517931975304,8.969616291861655,12.136910415465238,3.546773680387412,-23.946403998892407,23.35955269489739,0.09390980520010259
DE,385.739990234375,8.837144840973622,13.026764625118044,14.852841696082749,21.68636676418883,5.759077867700682,-45.79766032004028,30.705913735290494,0.08017394688054488
MU,96.23999786376953,4.039889307713338,5.583302436125604,6.31868877260068,8.169622616970955,2.5312176305893135,-18.660432027610668,17.120088967074665,-0.08852873172454354
SPGI,513.239990234375,8.95078009815262,12.289399308228797,14.255349001900925,18.633463108178823,5.567993675161976,-36.404927904305566,29.177950733918465,0.05995401236545653
MMM,134.69000244140625,3.4207242479193383,6.235901760208828,7.49257690166138,13.026592498649029,2.6414015342109365,-52.516696757948964,31.36195528533304,-0.2544896472775335
NOW,855.0,25.704706022478376,40.10193527071035,46.727287866169945,68.69151317188165,18.409224848543605,-137.90992138009756,331.04881876784407,0.22880064511611795
BKNG,3900.185302734375,89.66915435877581,139.36559033839205,160.48257163230255,244.05248250476973,68.48114827691339,-1367.986936840788,1783.421221421887,2.8433903774414895
F,11.1899995803833,0.36674305835615506,0.5361297374808918,0.6273107971186995,0.8619585053059441,0.2483836398655331,-2.2782430299247327,2.257009191773374,0.008127922918410357
ADP,274.52252197265625,4.016101087389018,6.546150722791264,7.718382813827645,11.554113707729185,3.103027899253653,-41.02764901439966,54.23578202893043,0.22893676948566657
ZTS,183.49000549316406,4.544733509655572,6.631488659265653,7.563703550209823,10.47883856969851,2.9113658066757684,-17.54690100671968,23.692880249751056,-0.030310201508825036
LRCX,821.010009765625,31.388162968445158,43.61900744797188,51.01802577592218,62.91576424896139,20.004299615886254,-135.97720726155842,102.34477294862995,0.018979738973820805
PNC,185.08999633789062,4.804439748625555,6.831655842287536,7.6724887338656345,10.523829167319086,3.0589727795054578,-23.01999036967868,15.609799374013875,-0.0870208637690196
MDLZ,71.80999755859375,1.2469699413503008,1.729442918248029,1.9696167986119804,2.5407805030488815,0.7929960823870724,-4.38133612236571,3.97564010354003,0.012524791570959419
MO,53.77000045776367,0.8261450630404141,1.3140966669573535,1.5357879607891078,2.2962696178845623,0.6074153407317132,-6.368243301773241,8.730936623594573,0.01424176175285638
ADI,233.9199981689453,6.900185575833717,8.882047674739331,10.142535993637637,12.068692268802236,4.287967651129916,-17.710428473612637,27.293590677282225,0.0002203021514852992
GILD,78.26851654052734,1.703379107365933,2.540390027592035,2.9899215279413056,3.9774303480794995,1.1197461521827354,-7.69546035013218,8.306400229473027,0.0098869658286189
LMT,564.9500122070312,8.692747918331293,13.612129174341339,15.75589749617859,23.171670404538517,5.532938342528215,-53.66358520412996,41.06300969898507,-0.33266952173203906
